Sample Date,Latitude,Longitude,Total Pieces/L ,,,
7/1/2013,59.3786833,-153.5208667,1,,,
7/1/2013,59.3681333,-153.5523333,1,,,
7/1/2013,59.3414667,-153.5497667,14,,,
7/1/2013,59.6387167,-153.3956667,17,,,
7/1/2013,59.3736,-153.4480667,71,,,
7/1/2013,59.3929667,-153.50715,2,,,
9/23/2013,43.6612,-70.2389,17,,,
10/16/2013,41.24665,-72.51363,8,,,
10/28/2013,39.3513,-76.144783,2,,,
11/2/2013,39.284783,-76.609267,12,,,
11/13/2013,38.3314,-76.4596,3,,,
11/16/2013,37.8014,-76.2905,10,,,
11/16/2013,37.3026,-76.2937,7,,,
11/17/2013,18.3047,-65.2968,12,,,
11/17/2013,-51.3082,-60.5467,8,,,
11/18/2013,36.8463,-76.3002,4,,,
11/18/2013,-51.6918,-57.8586,12,,,
11/21/2013,-54.8869,-67.9369,6,,,
11/21/2013,-54.1567,-36.7097,9,,,
11/21/2013,31.3438,-71.3528,61,,,
11/22/2013,-54.132,-36.826,12,,,
11/23/2013,-54.7383,-69.6171,12,,,
11/23/2013,-54.9431,-69.4812,1,,,
11/23/2013,30.5659,-70.6258,22,,,
11/23/2013,-54.434,-36.187,13,,,
11/24/2013,29.3275,-69.3097,175,,,
11/26/2013,25.8486,-67.5656,29,,,
11/27/2013,21.221189,-86.732542,10,,,
11/27/2013,24.2909,-67.3977,32,,,
11/28/2013,21.031301,-86.791189,6,,,
11/28/2013,-54.941,-69.1525,1,,,
11/28/2013,-54.941,-69.157,10,,,
11/28/2013,23.0016,-67.2478,28,,,
11/29/2013,24.417222,-110.31222,17,,,
11/29/2013,20.647611,-87.050925,1,,,
11/29/2013,-54.9338,-67.6162,1,,,
11/29/2013,-64.8439,-62.5312,31,,,
12/3/2013,24.163333,-110.317222,7,,,
12/3/2013,17.2776,-87.80551,15,,,
12/4/2013,17.32112,-87.78921,10,,,
12/5/2013,17.40976,-87.92763,15,,,
12/5/2013,17.31051,-87.80113,9,,,
12/5/2013,17.2826,-87.81142,239,,,
12/8/2013,-62.4113,-59.7428,2,,,
12/8/2013,-62.0955,-59.9032,17,,,
12/11/2013,18.4599,-66.093,173,,,
12/15/2013,-64.5771,-62.2257,12,,,
12/17/2013,-65.1775,-64.1291,116,,,
12/28/2013,9.556027,-79.654444,13,,,
12/31/2013,9.287916,-82.391222,23,,,
1/1/2014,9.3385,-82.239888,27,,,
1/2/2014,11.47168,-86.13136,6,,,
1/3/2014,20.396161,-87.313191,4,,,
1/7/2014,20.210337,-87.430163,2,,,
1/8/2014,18.335767,-64.92775,2,,,
1/13/2014,18.3464,-64.791,19,,,
1/18/2014,18.4547,-64.442133,1,,,
1/19/2014,18.37405,-64.531216,0,,,
1/25/2014,18.334183,-64.926333,8,,,
1/27/2014,20.29884,-87.00539,3,,,
2/1/2014,20.44935,-86.9901,2,,,
2/2/2014,17.749514,-87.025033,0,,,
2/2/2014,20.5448,-86.88051,2,,,
2/4/2014,17.749514,-87.025033,4,,,
2/4/2014,17.749514,-87.025033,0,,,
2/4/2014,20.38284,-86.87464,0,,,
2/7/2014,17.6365,-63.257333,0,,,
2/9/2014,17.480733,-62.990067,12,,,
2/11/2014,17.29105,-62.729383,13,,,
2/13/2014,16.801617,-62.208483,26,,,
2/17/2014,15.980333,-61.717516,0,,,
2/19/2014,15.86735,-61.589483,1,,,
2/21/2014,15.579333,-61.463216,5,,,
2/23/2014,38.15334,-122.88948,0,,,
3/3/2014,66.1741,-23.2302,6,,,
3/4/2014,14.5984,-61.0695,4,,,
3/6/2014,17.3028,-87.8344,6,,,
3/9/2014,9.94286,-85.67066,30,,,
3/10/2014,14.0726,-60.9595,0,,,
3/11/2014,12.4856,-61.4597,2,,,
3/15/2014,17.4983,-87.8358,0,,,
3/16/2014,11.9958,-61.7631,1,,,
3/16/2014,9.99624,-85.70344,12,,,
